分组,变量,N,Mean,SD,P10,P25,Median,P75,P90
全样本,lev,199,0.5696370303086334,0.19366315743751825,0.26150679154795214,0.4699632046624823,0.6104992056557073,0.7154803286665707,0.7836120168953775
全样本,npr,199,0.06163191452773818,0.6444046124526571,-0.05589177835143622,0.005617467168414055,0.0222106000947959,0.047900015770187175,0.0762338001357702
全样本,size,199,22.562073697128717,2.1923109160149252,19.97371417560443,20.867193798144342,22.95793928724029,23.588895327995193,24.422165470420722
全样本,tang,199,0.12941229340184146,0.15942978426604665,0.0038013626326214413,0.009497271474350689,0.08384615744866435,0.15760076917219873,0.3258078378010645
全样本,growth,199,0.18864050873665805,0.7303887113228997,-0.1463498344854791,-0.047095510324429934,0.05121798069155073,0.17856906299412673,0.37663725256555797
全样本,ndts,199,0.027764185424016156,0.027893638010227612,0.004253604135848308,0.007997204656731852,0.018463698952072095,0.03737585676969665,0.06546956591906779
全样本,liq,199,1.794085813070779,1.0863973859669216,0.960991461873989,1.184439303761444,1.4770835885382483,2.0004541074402056,3.0471484106790125
民营企业,lev,199,0.5696370303086334,0.19366315743751825,0.26150679154795214,0.4699632046624823,0.6104992056557073,0.7154803286665707,0.7836120168953775
民营企业,npr,199,0.06163191452773818,0.6444046124526571,-0.05589177835143622,0.005617467168414055,0.0222106000947959,0.047900015770187175,0.0762338001357702
民营企业,size,199,22.562073697128717,2.1923109160149252,19.97371417560443,20.867193798144342,22.95793928724029,23.588895327995193,24.422165470420722
民营企业,tang,199,0.12941229340184146,0.15942978426604665,0.0038013626326214413,0.009497271474350689,0.08384615744866435,0.15760076917219873,0.3258078378010645
民营企业,growth,199,0.18864050873665805,0.7303887113228997,-0.1463498344854791,-0.047095510324429934,0.05121798069155073,0.17856906299412673,0.37663725256555797
民营企业,ndts,199,0.027764185424016156,0.027893638010227612,0.004253604135848308,0.007997204656731852,0.018463698952072095,0.03737585676969665,0.06546956591906779
民营企业,liq,199,1.794085813070779,1.0863973859669216,0.960991461873989,1.184439303761444,1.4770835885382483,2.0004541074402056,3.0471484106790125
