stkcd,year,total_assets,total_liabilities,fixed_assets,total_current_assets,total_current_liab,net_profit,dep_amort,soe,ind_gate,ind_mid,ind_code_em,m2,m2_growth,lev,npr,size,tang,ndts,liq,growth,ind_code,lev_raw,npr_raw,tang_raw,growth_raw,ndts_raw,liq_raw
000002,2011,296208440030.05,228375901483.02,1595862733.95,282646654855.19,200724160315.26,9624875268.23,250774559.98,0,房地产业,,K70,851590.9,17.32297305487116,0.7684065284490675,0.03249358886348264,26.41432923273624,0.005387634240901784,0.0012271634570281552,1.4081346979419989,0.37364034064290774,CM_other,0.7709972796853848,0.03249358886348264,0.005387634240901784,0.37364034064290774,0.0008466151739449396,1.4081346979419989
000002,2012,378801615075.37,296663420087.27,1612257202.22,362773737335.37,259833566711.09,12551182392.23,182621025.17,0,房地产业,,K70,974148.8,14.391640399163496,0.7784146260626328,0.033133919953674686,26.660278461911783,0.004256204667710326,0.0009514933674515157,1.3961773373905135,0.2788346444042615,CM_other,0.783163028563759,0.033133919953674686,0.004256204667710326,0.2788346444042615,0.0004821020235979299,1.3961773373905135
000002,2013,479205323490.54,373765900091.91,2129767863.36,442046585199.61,328921832209.92,15118549405.78,179235500.15,0,房地产业,,K70,1106524.98,13.588907567303888,0.7799702586135575,0.03154921004561515,26.895394992806438,0.004444374381834353,0.00112144456220164,1.3439259480881558,0.26505617827208233,CM_other,0.7799702586135575,0.03154921004561515,0.004444374381834353,0.26505617827208233,0.000374026521334207,1.3439259480881558
000002,2014,508408755415.65,392515138495.68,2308351663.13,464805697453.18,345654030971.64,15745454144.7,548904324.49,0,房地产业,,K70,1228374.807,11.011936395688071,0.770223932618892,0.030970068821547517,26.954551597623354,0.004540346008091079,0.0016763987196389634,1.3447136610749262,0.060941376260997555,CM_other,0.772046378656046,0.030970068821547517,0.004540346008091079,0.060941376260997555,0.0010796515965608082,1.3447136610749262
000002,2015,611295567689.29,474985950368.27,4917479160.88,547024375866.34,420061826880.58,18119406249.27,715806286.73,0,房地产业,,K70,1392278.10919881,13.34310189893124,0.7770152042222829,0.029640990720351094,27.138846423323837,0.008044355988819245,0.0014247064277380323,1.3022472904253077,0.20237026049939838,CM_other,0.7770152042222829,0.029640990720351094,0.008044355988819245,0.20237026049939838,0.0011709659362258468,1.3022472904253077
000002,2016,830674213924.14,668997642643.14,6810793073.58,721295427853.28,579998485463.07,21022606256.56,1148632098.6599998,0,房地产业,,K70,1550066.66781086,11.333120701211753,0.8053670517624075,0.025307883529029174,27.445503513927846,0.008199114598014938,0.0018848250890982977,1.2436160540615875,0.35887491719284964,CM_other,0.8053670517624075,0.025307883529029174,0.008199114598014938,0.35887491719284964,0.0013827708617964837,1.2436160540615875
000002,2017,1165346917804.55,978672978646.26,7098808083.4,1017552832148.3,847355429875.81,28051814882.36,1101115390.47,0,房地产业,,K70,1690235.31468079,9.042749565596964,0.8273045802609611,0.0240716429191816,27.78403994214072,0.006091583523277142,0.0015681825174507114,1.2008571565977153,0.4028928529024659,CM_other,0.8398125602717742,0.0240716429191816,0.006091583523277142,0.4028928529024659,0.0009448820549887764,1.2008571565977153
000002,2018,1528579356474.81,1292958626477.23,11533798650.31,1295071856292.37,1121913936785.61,33772651678.61,1697226314.44,0,房地产业,,K70,1826744.21571345,8.076325222115033,0.8424307021139867,0.02209414351669386,28.055359894806493,0.007545436618291834,0.0015684710621940645,1.154341535325672,0.31169468346350465,CM_other,0.845856396660383,0.02209414351669386,0.007545436618291834,0.31169468346350465,0.0011103292133645723,1.154341535325672
000002,2019,1729929450401.23,1459350334988.27,12399838267.28,1438989354552.98,1272610284010.69,38872086881.32,4466790705.33,0,房地产业,,K70,1986488.82,8.744771321154033,0.841091397978016,0.02247033072493461,28.17910174349181,0.0071678288755671815,0.002928724627572548,1.1307384300069765,0.13172367733054494,CM_other,0.8435895086067219,0.02247033072493461,0.0071678288755671815,0.13172367733054494,0.0025820652421947024,1.1307384300069765
000002,2020,1869177094005.55,1519332620662.33,12577342742.17,1547387061234.69,1317492688869.78,41515544941.31,4775062695.99,0,房地产业,,K70,2186795.89,10.083473311468216,0.8128350307388363,0.0222106000947959,28.256519393260163,0.0067288127928089485,0.0029232067548850367,1.1744938505595248,0.08049324992532138,CM_other,0.8128350307388363,0.0222106000947959,0.0067288127928089485,0.08049324992532138,0.0025546336467013337,1.1744938505595248
